DMSO_6_3_RIBO	DMSO_6_4_RIBO	DMSO_6_1_RNA	DMSO_6_2_RNA	DMSO_6_3_RNA	DMSO_6_4_RNA	DMSO_30_1_RIBO	DMSO_30_2_RIBO	DMSO_30_3_RIBO	DMSO_30_1_RNA	DMSO_30_2_RNA	DMSO_30_3_RNA	PP_30_1_RIBO	PP_30_2_RIBO	PP_30_3_RIBO	PP_30_1_RNA	PP_30_2_RNA	PP_30_3_RNA	PP_6_1_RIBO	PP_6_3_RIBO	PP_6_1_RNA	PP_6_2_RNA	PP_6_3_RNA
MIR6890	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
USP19	313	409	946	988	995	1172	2102	1599	2147	2267	2996	2441	1124	1513	971	2049	1647	2487	700	559	1096	1507	1454
LAMB2	313	451	473	485	481	632	1914	1479	1869	2602	3822	2972	810	746	909	2502	2130	2834	645	570	886	1048	971
LAMB2P1	2	0	23	18	19	28	0	0	0	30	55	53	1	0	0	38	15	38	5	0	17	19	21
CCDC71	73	73	265	215	237	286	282	143	159	289	441	315	165	191	228	308	286	336	136	77	219	255	232
KLHDC8B	25	32	190	210	172	211	173	81	106	377	496	417	103	53	48	341	263	363	80	58	131	211	166
C3orf84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IHO1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	2	4	0	0	0	1	0
C3orf62	1	2	128	148	134	160	0	4	4	192	316	286	9	0	0	200	220	243	2	0	51	146	140
MIR4271	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
USP4	147	182	651	715	652	825	1659	615	1038	975	1459	1196	454	580	490	1006	939	1231	265	180	270	896	827
GPX1	146	183	1192	1063	1010	1286	513	328	399	2278	2817	2072	410	543	268	2161	2284	2441	205	135	941	913	776
RHOA	3137	2768	8919	8949	8808	10718	18300	8105	10968	10974	15876	13285	4432	6457	3283	10833	9217	12035	3089	2294	4985	8051	7297
TCTA	27	32	339	350	382	410	106	71	57	292	464	377	115	76	10	320	207	297	50	30	426	493	444
AMT	0	1	0	3	2	1	1	14	0	92	124	84	0	0	0	68	62	74	4	0	4	2	8
NICN1	18	11	134	127	110	146	128	62	72	281	406	370	41	78	0	284	214	325	28	29	63	131	131
DAG1	765	949	2810	2701	2728	3238	4773	2894	4240	2454	4696	3809	3000	3381	2112	2793	2327	3020	1233	878	2534	2769	2490
BSN-DT	1	2	4	3	4	10	0	0	0	0	4	6	0	0	0	6	10	5	0	0	5	1	12
BSN	10	15	100	91	101	135	8	11	39	62	105	106	17	17	4	99	51	95	35	31	146	434	358
APEH	422	475	1093	1120	1069	1339	3612	1902	2628	2183	3107	2479	948	1304	820	2075	1826	2672	496	410	1502	1745	1425
MST1	0	0	9	8	6	12	0	0	11	143	220	211	0	0	0	162	112	215	3	1	10	18	21
RNF123	99	99	408	396	382	486	714	382	589	952	1367	1049	220	321	436	1009	842	1086	150	138	372	563	546
AMIGO3	5	1	88	101	92	83	65	0	1	197	312	297	0	5	9	242	239	257	14	3	77	56	50
GMPPB	105	126	329	338	318	378	479	162	332	488	664	536	224	324	249	515	484	550	137	106	222	246	227
IP6K1	215	241	1666	1774	1718	2019	950	679	899	1697	2686	2164	419	659	552	1713	1527	1964	304	259	894	1955	1813
CDHR4	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	2	1	0	0	1	2
INKA1	17	15	46	53	46	55	176	126	115	280	297	244	29	87	40	217	174	251	4	9	12	15	13
UBA7	9	11	11	13	13	16	578	241	325	379	497	366	107	70	194	295	284	322	8	8	22	16	12
MIR5193	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TRAIP	84	96	160	162	172	235	320	175	213	348	497	423	77	98	0	364	345	388	123	94	222	272	235
CAMKV	60	47	386	379	401	496	904	608	896	2085	2873	2469	490	410	284	1977	1671	2163	70	55	123	243	206
MST1R	4	0	0	1	4	1	1	5	1	0	3	0	0	1	1	1	0	0	2	3	0	0	1
MON1A	85	72	198	217	212	263	178	72	87	314	424	377	79	150	41	299	214	389	77	43	162	144	145
RBM6	164	205	1133	1196	1140	1383	1607	587	1105	3221	4416	4103	511	1148	636	2953	2648	3305	272	176	1448	1051	910
RBM5	404	538	1374	1328	1317	1664	4509	2199	3096	2404	3272	2997	1431	1815	1430	2270	1869	2550	760	648	1990	2086	1972
RBM5-AS1	0	0	0	0	0	0	0	0	0	98	146	153	0	0	0	94	78	129	0	0	1	2	0
SEMA3F-AS1	1	0	1	0	0	0	0	0	1	36	36	39	0	0	0	27	25	46	3	0	0	0	0
SEMA3F	1	0	0	1	0	3	1	0	4	3	7	7	0	1	0	5	9	8	1	3	2	1	1
GNAT1	0	0	0	0	0	0	1	1	0	1	3	2	0	0	0	1	1	0	5	0	0	1	0
SLC38A3	77	87	143	128	118	177	979	436	663	482	647	520	276	512	303	397	473	543	109	94	200	164	158
GNAI2	625	697	2359	2433	2366	2934	3557	2066	3111	4653	6010	4634	1472	2090	995	4632	4316	4892	782	637	1960	1834	1650
MIR5787	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SEMA3B-AS1	0	0	0	0	0	0	0	0	0	11	10	10	0	0	0	0	0	3	0	0	0	0	0
SEMA3B	20	8	62	71	67	83	307	190	95	613	940	749	151	86	39	719	660	875	32	25	32	96	59
MIR6872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSMEM2	0	0	0	0	2	2	0	2	33	12	19	18	7	26	28	7	10	21	0	0	1	0	0
IFRD2	115	107	691	681	629	797	348	118	97	863	1313	1142	176	99	142	856	1018	1006	133	144	328	721	653
HYAL3	4	12	53	38	38	56	0	14	33	70	102	76	20	5	0	57	69	68	4	0	30	25	27
NAA80	15	15	43	41	42	55	157	36	58	131	173	124	31	60	5	97	107	149	36	43	72	63	40
HYAL1	0	1	3	4	3	2	0	0	2	17	26	15	0	1	0	22	21	11	0	1	0	0	3
HYAL2	102	106	681	643	587	752	702	313	490	1155	1609	1264	323	313	158	1169	1149	1276	130	95	325	456	453
TUSC2	58	64	390	356	326	371	96	107	115	583	775	659	50	148	149	561	596	625	101	67	148	253	180
RASSF1	79	103	212	199	185	267	375	342	215	510	711	537	286	374	462	579	545	611	189	135	131	329	280
RASSF1-AS1	2	0	6	7	8	14	7	0	5	1	7	4	3	11	0	0	6	3	3	5	7	5	7
ZMYND10	2	1	6	3	6	4	0	1	13	11	33	20	0	11	0	30	21	29	1	7	5	4	5
NPRL2	76	100	228	216	270	265	759	517	520	497	656	510	228	332	138	458	388	509	114	61	259	255	226
CYB561D2	45	41	88	99	99	122	166	183	321	200	280	201	154	151	173	156	177	194	73	56	94	131	109
TMEM115	132	148	479	477	431	519	574	396	484	1080	1254	1035	300	513	234	944	832	1092	199	195	503	600	514
CACNA2D2	0	2	1	1	0	2	3	1	0	17	32	16	0	3	0	39	6	12	6	0	2	5	0
C3orf18	4	2	105	114	101	108	23	1	18	185	232	188	0	8	0	211	184	212	21	10	113	120	129
HEMK1	31	32	175	168	144	228	222	125	215	429	523	462	121	106	65	285	282	339	73	62	173	242	227
CISH	5	11	34	27	38	47	36	72	21	79	84	87	17	9	0	25	63	72	2	0	5	11	7
MAPKAPK3	29	29	272	292	273	336	83	56	41	421	609	554	51	103	15	411	362	440	29	33	307	237	217
DOCK3	23	38	154	123	140	170	5	53	30	97	142	125	13	34	117	86	74	102	32	25	118	167	147
MIR4787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MANF	620	844	1850	1732	1820	2129	3055	1362	2091	1738	2300	1940	793	1718	797	1604	1587	1767	243	185	647	564	548
RBM15B	191	214	2890	2930	2896	3487	405	453	485	2549	3745	2838	299	257	345	2565	2222	2769	250	221	2643	2789	2595
DCAF1	378	454	954	950	1016	1151	3185	1034	2365	1205	1782	1561	683	856	488	1224	982	1321	309	210	689	1118	1008
RAD54L2	120	169	1822	1766	1873	2276	851	364	548	1320	2304	2003	331	356	203	1365	1144	1398	186	131	1284	1711	1547
TEX264	108	83	325	299	312	359	488	207	204	473	623	491	209	173	115	377	433	460	123	108	333	434	419
GRM2	1	1	3	3	3	2	1	0	26	93	90	56	6	20	0	57	59	82	1	1	1	2	3
IQCF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IQCF4P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IQCF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
IQCF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IQCF5-AS1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IQCF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IQCF1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RRP9	332	259	286	347	291	382	567	397	608	728	1051	822	396	367	175	732	575	737	322	265	348	322	268
PARP3	2	2	44	35	48	55	5	0	28	110	177	132	9	0	64	116	114	125	20	8	77	93	87
GPR62	0	0	1	0	0	0	0	0	0	21	37	31	0	0	0	9	16	20	0	0	0	0	0
PCBP4	858	891	2852	2905	2980	3453	2780	1928	2537	5459	6751	5580	1679	2001	1248	5755	5068	6534	1034	737	2264	2692	2303
ABHD14B	74	23	62	53	66	89	64	85	122	184	262	202	79	155	118	138	141	164	320	254	116	124	84
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14A	12	19	94	118	105	138	50	63	40	104	139	111	54	43	54	108	136	110	27	16	93	89	68
ACY1	6	1	0	2	0	2	0	3	6	11	21	8	0	0	0	4	5	16	15	7	1	0	1
RPL29	228	287	4715	4429	4731	5510	927	415	958	8682	12020	8853	168	251	106	7508	7588	8539	68	61	5457	4904	4305
DUSP7	39	54	713	692	657	784	235	200	300	1200	1920	1415	176	140	128	1196	1056	1162	49	60	424	407	391
LINC00696	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
POC1A	74	111	305	355	328	398	361	177	324	334	520	387	201	200	165	337	385	354	83	75	236	367	278
ALAS1	271	282	630	656	709	822	1672	1383	1865	1147	1584	1301	800	921	657	1075	1028	1204	346	269	722	659	583
TLR9	3	0	0	0	0	0	0	0	0	2	2	3	0	0	0	0	0	4	4	0	0	0	0
TWF2	208	233	386	356	406	446	978	668	743	655	900	733	578	463	357	668	634	766	177	199	315	482	417
LOC101929054	0	0	10	9	8	9	7	0	3	1	11	5	0	0	1	9	13	5	3	0	17	16	7
PPM1M	3	4	31	30	36	48	13	13	13	84	108	87	10	5	0	83	78	118	9	10	23	55	30
WDR82	393	455	3725	3849	3586	4543	3593	1126	2137	4347	6465	5661	864	1212	880	4392	3555	4931	584	457	1990	3342	2950
MIRLET7G	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GLYCTK	13	17	87	74	80	107	28	38	35	141	179	125	44	37	6	104	139	149	41	39	72	199	179
GLYCTK-AS1	0	0	2	1	2	0	0	0	0	4	7	9	0	0	0	5	0	10	1	0	1	0	1
MIR135A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAH1	2	3	25	28	37	37	6	14	13	179	311	259	2	8	2	258	112	225	4	6	34	36	24
BAP1	148	175	1677	1685	1623	2027	725	405	471	3212	4401	3451	362	410	231	3028	2440	3370	338	219	1450	1609	1585
PHF7	10	12	70	57	75	87	31	14	71	154	180	180	0	39	104	116	117	142	40	18	63	80	75
SEMA3G	0	0	0	1	0	0	3	0	0	2	2	4	0	1	0	4	0	2	0	0	0	2	0
TNNC1	3	0	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	0	4	1	0	1	0
NISCH	262	247	1230	1233	1228	1531	2388	1799	1649	3103	4494	3597	1088	1286	897	3172	2751	3564	386	294	987	1485	1248
STAB1	0	1	0	0	0	1	0	2	0	0	1	0	0	27	0	1	3	2	8	0	0	0	0
NT5DC2	277	446	2306	2421	2334	2812	1107	633	886	3527	4667	3801	284	346	280	3814	3175	4122	93	90	615	1360	1202
SMIM4	172	104	161	188	198	233	500	271	451	199	255	236	255	306	284	165	160	217	118	108	57	133	105
PBRM1	497	678	2527	2558	2529	3174	3327	1293	2532	2000	3340	3123	1010	1423	676	2141	1725	2239	697	416	1993	3161	2976
GNL3	608	718	2286	2095	2270	2660	6563	2887	3805	3463	4734	4296	1587	2562	1115	3136	3047	3768	364	332	1888	1549	1432
SNORD136	0	0	36	31	29	41	0	0	0	9	6	4	0	0	0	3	3	1	0	0	9	11	9
SNORD19	0	0	7	5	2	1	0	0	0	8	12	13	0	0	0	13	8	18	0	0	0	4	3
SNORD19B	0	0	6	7	9	14	0	0	0	15	17	27	3	0	0	21	13	30	0	0	12	8	5
SNORD19C	0	1	13	12	24	29	0	0	0	12	12	22	0	0	0	10	13	8	1	0	10	10	8
SNORD69	3	2	12	14	12	16	0	0	0	8	12	6	0	0	0	7	15	12	1	2	5	9	9
GLT8D1	152	183	732	700	685	841	1780	479	1049	1176	1624	1372	428	788	406	1059	1111	1318	211	122	449	694	642
SPCS1	400	411	980	984	989	1133	3978	1146	2460	1627	2070	1615	901	1419	657	1300	1451	1654	390	291	563	941	868
NEK4	107	92	1278	1355	1300	1577	393	197	261	637	911	796	85	152	75	611	464	645	148	105	942	922	879
ITIH1	0	0	0	0	0	0	1	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1
ITIH3	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ITIH4	0	0	0	1	0	0	1	0	0	2	6	4	0	2	0	6	0	5	0	1	0	3	1
ITIH4-AS1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STIMATE-MUSTN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MUSTN1	0	0	0	0	0	0	0	0	0	1	4	5	0	9	0	1	0	0	0	0	1	0	0
STIMATE	0	4	415	417	428	487	1	0	0	327	531	402	0	0	0	320	231	417	1	1	151	326	259
MIR8064	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
SFMBT1	54	60	480	495	469	610	266	127	303	369	534	487	100	120	91	430	272	414	55	35	285	419	353
RFT1	79	107	390	404	382	462	650	330	558	487	657	578	269	418	242	486	395	498	67	63	233	464	416
PRKCD	12	17	62	81	87	83	853	248	366	478	576	561	181	395	226	514	439	579	33	39	15	66	51
TKT	2599	3307	5052	4920	4990	6108	18906	10529	16083	9662	14040	10749	4760	5200	3486	10471	9414	11709	875	597	5968	7327	6586
DCP1A	118	143	988	1026	936	1218	854	508	635	982	1725	1457	293	296	228	1073	837	1109	130	117	970	1147	1017
SNORD38C	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1D	0	5	0	3	1	2	3	0	3	11	5	1	0	10	0	6	0	0	1	1	4	3	0
CHDH	12	7	116	125	128	136	64	78	43	556	749	635	65	55	53	625	391	607	21	16	58	108	85
IL17RB	16	6	46	41	36	57	205	127	146	300	521	422	54	56	8	275	278	353	3	4	24	27	19
ACTR8	228	321	972	1054	1021	1233	1991	855	1581	949	1306	1127	459	798	594	770	742	988	331	269	1019	1373	1235
SELENOK	204	167	631	653	666	740	786	382	569	897	1239	1085	236	190	149	893	769	884	105	101	289	570	517
CACNA2D3	4	0	0	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ESRG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA2D3-AS1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LRTM1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0
LINC02017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WNT5A	0	2	6	6	9	5	0	3	8	25	16	18	0	0	0	7	9	14	0	1	5	13	17
ERC2	2	1	2	6	6	13	0	0	3	3	4	6	12	0	0	1	0	9	6	28	9	7	7
ERC2-IT1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	2	0	0	0
MIR3938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC66	37	52	388	411	399	455	233	159	195	316	449	446	60	120	42	326	286	312	41	32	569	351	349
TASOR	359	483	4834	5046	4892	5839	4098	1096	2608	3287	4794	4574	917	1631	799	3227	2762	3653	385	308	3227	4566	4332
ARHGEF3	79	87	446	364	396	416	662	191	325	556	853	763	99	169	146	506	444	548	41	51	222	349	307
ARHGEF3-AS1	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SPATA12	0	0	0	0	0	0	0	0	3	3	1	2	1	0	0	0	2	0	0	1	0	0	0
IL17RD	98	134	1603	1641	1548	1907	455	263	405	1048	1783	1444	212	238	237	1142	903	1270	140	119	1284	1975	1777
HESX1	3	3	33	37	26	37	0	3	8	37	45	26	0	12	0	38	16	37	15	5	27	33	23
APPL1	195	260	1941	2003	1970	2389	2215	640	1480	1854	2558	2354	672	681	327	1674	1461	1912	137	143	1908	2535	2208
ASB14	0	1	1	1	1	0	0	0	0	25	18	26	0	1	0	8	14	15	0	0	1	0	1
LOC105377102	0	2	1	5	10	4	0	0	0	0	5	1	0	0	0	6	3	7	0	0	5	4	3
DNAH12	0	0	2	4	3	6	3	0	4	0	2	2	0	1	0	0	8	0	0	1	1	4	5
PDE12	200	266	1065	1113	1046	1271	1194	809	1022	852	1306	1068	298	456	591	836	689	829	129	141	528	768	720
ARF4	585	767	2717	2842	2760	3342	6153	2639	4114	3509	4581	4131	1383	2183	1401	3189	3037	3680	426	307	1210	1968	1822
ARF4-AS1	0	0	27	20	25	23	0	0	5	9	7	6	0	0	0	5	2	3	2	1	16	22	18
DENND6A	43	83	1013	962	973	1208	374	155	477	634	1050	990	150	308	224	783	641	724	97	72	769	961	801
DENND6A-DT	6	0	3	1	2	3	44	0	1	0	3	2	0	0	0	2	8	0	1	0	4	4	2
SLMAP	106	128	1409	1378	1387	1593	456	326	320	1381	2040	1861	259	372	111	1398	1212	1506	148	106	1366	1342	1201
FLNB	233	361	869	887	903	1049	3303	1620	1700	1764	2508	1869	1157	1198	1023	1712	1304	1941	289	269	1248	1523	1414
FLNB-AS1	0	0	0	0	0	0	0	0	0	9	17	15	0	0	0	15	8	15	0	0	0	0	0
DNASE1L3	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0
ABHD6	34	69	555	520	496	651	836	333	658	1135	1550	1238	275	504	141	975	855	1046	43	39	214	295	260
RPP14	21	12	10	8	8	9	10	30	25	4	12	12	15	22	34	8	11	4	27	24	8	8	12
HTD2	0	0	1	0	3	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	1
PXK	56	70	321	339	287	413	637	128	301	278	453	402	90	142	84	270	167	363	140	112	663	708	708
PDHB	372	507	1072	1039	1050	1292	2448	1302	2457	1475	2011	1726	870	1210	670	1516	1252	1585	419	357	960	1211	1132
KCTD6	23	23	278	235	251	309	224	94	170	265	293	286	57	177	39	160	143	228	18	10	164	199	156
ACOX2	0	0	0	0	1	0	0	0	0	3	1	2	0	11	1	4	6	2	0	0	0	2	0
FAM107A	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FAM3D-AS1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
FAM3D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFAP20DC	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CFAP20DC-AS1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC339902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FHIT	17	10	85	85	87	128	139	113	135	250	356	293	10	123	87	268	246	248	13	17	86	114	89
MIR548BB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPRG	331	461	2341	2402	2289	2921	2987	1484	2246	2121	3482	3093	1144	1446	847	2033	1755	2283	664	517	2288	3150	2893
PTPRG-AS1	4	0	5	11	7	11	1	4	18	14	16	10	8	11	0	1	21	4	0	0	6	11	15
C3orf14	6	5	65	73	58	86	144	74	81	104	107	115	22	103	52	70	69	77	6	4	23	54	44
FEZF2	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CADPS	0	0	0	2	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2
LINC00698	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYNPR	0	0	0	2	0	0	38	26	46	0	2	0	26	31	9	0	0	2	0	1	2	0	0
SYNPR-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNTN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100130345	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	1	0	0	0	0	1	0
C3orf49	0	0	0	0	0	0	1	0	0	7	4	4	1	0	0	3	2	3	0	0	0	0	0
THOC7	180	207	666	722	651	804	504	316	532	600	901	752	179	284	76	565	509	527	157	115	521	506	471
THOC7-AS1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	1	0	0	0	0	0
ATXN7	40	62	650	647	659	820	216	100	183	591	985	872	82	81	25	524	546	664	62	43	648	789	690
SCAANT1	0	0	0	2	0	2	0	0	0	6	2	1	0	0	0	9	5	2	0	0	0	0	1
PSMD6-AS2	1	1	23	24	25	25	0	0	0	27	58	41	0	0	1	28	6	30	1	0	12	12	15
PSMD6	528	570	980	990	909	1114	3733	1144	2361	1235	1864	1682	1086	1707	735	1359	1194	1519	388	276	975	995	848
PRICKLE2-AS1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0
LINC00994	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRICKLE2	29	24	433	411	436	494	531	331	480	343	500	456	285	274	168	323	302	372	61	40	269	357	324
PRICKLE2-AS2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRICKLE2-AS3	0	1	0	2	0	0	0	0	1	0	3	0	0	0	0	3	0	0	0	0	0	0	5
ADAMTS9	32	20	435	416	445	509	1163	778	938	1974	2918	2335	551	520	263	1913	1459	2208	25	28	156	200	178
ADAMTS9-AS1	0	0	0	0	0	0	0	1	0	11	6	3	0	1	0	0	0	5	0	0	0	0	0
ADAMTS9-AS2	1	1	5	4	2	2	11	3	8	8	3	3	9	7	3	8	2	4	0	0	2	5	1
MAGI1	478	613	2468	2513	2544	2965	1423	1082	1243	1755	2933	2503	814	1109	503	1893	1507	2056	571	454	2552	2180	2093
MAGI1-IT1	0	0	2	1	1	0	1	0	0	3	2	0	0	0	0	0	0	0	0	1	0	4	2
MAGI1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRIG1	131	144	599	536	591	629	868	609	971	1237	1706	1419	504	536	530	1207	899	1412	196	158	271	616	502
LOC105377143	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KBTBD8	12	32	218	171	204	187	147	85	111	116	193	167	37	2	0	99	84	125	9	5	76	126	99
MIR4272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCLG2	72	74	394	410	392	466	703	373	476	694	958	878	140	170	1	565	500	707	48	46	586	592	512
SUCLG2-AS1	0	1	7	7	9	11	1	0	0	3	5	3	0	0	0	0	8	2	0	3	4	5	3
TAFA1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC105377146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAFA4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
EOGT	15	23	152	153	152	175	344	77	193	178	300	245	28	69	64	149	179	210	20	20	169	155	174
TMF1	95	150	882	894	893	1097	450	276	683	1077	1359	1183	143	345	375	823	781	1064	99	82	939	1020	932
MIR3136	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
UBA3	293	331	859	874	885	1009	1689	828	1418	1374	1701	1528	474	812	492	1128	1124	1296	292	155	697	804	748
ARL6IP5	341	494	1515	1575	1607	1876	3270	1612	2254	1943	2470	2270	884	1533	778	1632	1631	1934	377	265	953	1378	1164
LMOD3	0	0	1	0	0	0	4	0	4	5	2	7	1	0	0	3	8	2	1	0	1	0	0
FRMD4B	0	2	1	5	0	1	1	1	0	1	0	1	0	0	0	5	0	1	0	0	1	1	2
MITF	25	35	351	346	419	413	273	123	422	539	701	607	159	195	214	442	440	523	38	18	237	261	259
SAMMSON	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0
MDFIC2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXP1	5	6	12	2	7	2	10	1	6	8	3	7	0	1	0	0	11	2	5	3	12	11	12
FOXP1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR1284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF4E3	0	0	4	3	0	1	0	0	0	0	1	0	1	0	0	0	2	0	6	2	0	6	4
GPR27	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	1
PROK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00877	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LINC00870	0	0	1	0	1	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	1	4	0
RYBP	0	0	2	3	5	6	0	0	0	6	5	10	0	0	0	0	5	5	0	0	0	2	2
LOC105377162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SHQ1	85	117	440	424	433	526	607	314	386	336	454	380	97	271	218	368	382	337	70	61	235	409	380
GXYLT2	6	10	359	428	370	511	44	22	17	142	235	237	15	0	6	141	110	164	6	9	260	302	252
PPP4R2	150	172	2600	2728	2645	3135	887	689	853	2073	2967	2745	464	614	383	1929	1844	2326	167	111	1530	2307	2204
EBLN2	0	3	71	90	67	95	0	0	1	34	36	35	0	0	0	24	32	32	1	0	44	64	58
PDZRN3	41	62	186	194	199	243	292	30	86	332	524	448	84	85	0	317	340	398	34	36	171	120	105
LOC101927296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDZRN3-AS1	0	0	0	0	2	1	0	1	0	2	13	6	0	0	0	0	1	2	0	0	0	1	0
LINC02005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
